EVENT_ID,CZ_NAME_STR,BEGIN_LOCATION,BEGIN_DATE,BEGIN_TIME,EVENT_TYPE,MAGNITUDE,TOR_F_SCALE,DEATHS_DIRECT,INJURIES_DIRECT,DAMAGE_PROPERTY_NUM,DAMAGE_CROPS_NUM,STATE_ABBR,CZ_TIMEZONE,MAGNITUDE_TYPE,EPISODE_ID,CZ_TYPE,CZ_FIPS,WFO,INJURIES_INDIRECT,DEATHS_INDIRECT,SOURCE,FLOOD_CAUSE,TOR_LENGTH,TOR_WIDTH,BEGIN_RANGE,BEGIN_AZIMUTH,END_RANGE,END_AZIMUTH,END_LOCATION,BEGIN_LAT,BEGIN_LON,END_LAT,END_LON,ABSOLUTE_ROWNUMBER
579499,DALLAS CO.,EAGLE FORD,05/29/2015,100,Flash Flood, , ,0,0,0,0,TX,CST-6, ,95972,C,113,FWD,0,0,Public,Heavy Rain, , ,0,ENE,1,SSE,EAGLE FORD,32.7726,-96.8644,32.76,-96.8625,22
579707,DALLAS CO.,GRIBBLE,05/29/2015,120,Flash Flood, , ,0,0,1000,0,TX,CST-6, ,95972,C,113,FWD,0,0,Social Media,Heavy Rain, , ,1,SSW,2,NNW,IRVING,32.8615,-96.9269,32.8427,-96.9351,23
579719,DALLAS CO.,(DAL)LOVE FLD DALLAS,05/29/2015,125,Flash Flood, , ,0,0,0,0,TX,CST-6, ,95972,C,113,FWD,0,0,Social Media,Heavy Rain, , ,2,WNW,2,NNE,UNION BOWER,32.861,-96.8853,32.8586,-96.8884,24
579720,DALLAS CO.,GARLAND,05/29/2015,206,Flash Flood, , ,0,0,0,0,TX,CST-6, ,95972,C,113,FWD,0,0,Social Media,Heavy Rain, , ,2,SW,2,SW,GARLAND,32.9049,-96.6532,32.9042,-96.6532,25
579721,DALLAS CO.,NEW HOPE,05/29/2015,209,Flash Flood, , ,0,0,0,0,TX,CST-6, ,95972,C,113,FWD,0,0,Social Media,Heavy Rain, , ,2,WNW,2,WNW,NEW HOPE,32.8368,-96.6346,32.8328,-96.6357,26
579723,DALLAS CO.,REINHARDT,05/29/2015,222,Flash Flood, , ,0,0,0,0,TX,CST-6, ,95972,C,113,FWD,0,0,Social Media,Heavy Rain, , ,2,NW,2,WNW,REINHARDT,32.8378,-96.7072,32.83,-96.7102,27
579722,DALLAS CO.,SHADY GROVE,05/29/2015,222,Flash Flood, , ,0,0,25000,0,TX,CST-6, ,95972,C,113,FWD,0,0,Broadcast Media,Heavy Rain, , ,0,ENE,1,SSE,SHADY GROVE,32.8014,-96.9971,32.7893,-96.9969,28
576780,DALLAS CO.,GRIBBLE,05/29/2015,230,Flash Flood, , ,1,0,125000,0,TX,CST-6, ,95972,C,113,FWD,0,0,Emergency Manager,Heavy Rain, , ,3,W,3,WSW,FARMERS BRANCH,32.8851,-96.9722,32.9143,-96.942,29
576688,DALLAS CO.,NEW HOPE,05/29/2015,250,Flash Flood, , ,1,0,90000,0,TX,CST-6, ,95972,C,113,FWD,0,0,Fire Department/Rescue,Heavy Rain, , ,3,NW,2,ENE,REINHARDT,32.8464,-96.6335,32.8343,-96.6469,30
579724,DALLAS CO.,GARLAND,05/29/2015,320,Flash Flood, , ,0,0,20000,0,TX,CST-6, ,95972,C,113,FWD,0,0,Social Media,Heavy Rain, , ,3,S,3,S,GARLAND,32.8744,-96.6384,32.8714,-96.638,31
